Year,World Population
2015,7383009
2020,7795482
2025,8185614
2030,8551199
2035,8892702
2040,9210337
2045,9504209
2050,9771823
2055,10011171
2060,10222598
2065,10409808
2070,10575846
2075,10721964
2080,10848708
2085,10957566
2090,11050055
2095,11126033
2100,11184368
